Block_Size,Insertion_Sort_Time(ms),Selection_Sort_Time(ms)
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,1006
1000,537,382
1100,0,708
1200,1006,0
1300,1007,1014
1400,0,1088
1500,1603,1028
1600,1051,971
1700,1422,1297
1800,999,2013
1900,984,1092
2000,2515,2021
2100,984,2003
2200,2749,4068
2300,0,0
2400,5851,3005
2500,1044,0
2600,8599,3007
2700,2667,0
2800,6068,3014
2900,0,5679
3000,2246,4078
3100,0,0
3200,2959,5048
3300,3631,3059
3400,1635,0
3500,10400,4497
3600,0,10221
3700,3022,6267
3800,4097,0
3900,4992,2014
4000,10633,2004
4100,10005,4655
4200,7821,6491
4300,1285,11593
4400,3425,0
4500,5007,8192
4600,7258,8960
4700,7550,6441
4800,9027,3365
4900,13085,10231
5000,7360,7132
5100,12560,10035
5200,6649,10327
5300,2982,15407
5400,7296,8201
5500,12060,5980
5600,15607,10105
5700,2837,17788
5800,10305,7232
5900,11176,20308
6000,8933,14811
6100,1942,16433
6200,16060,17842
6300,3091,18048
6400,12352,21998
6500,12787,11864
6600,17154,21849
6700,16967,16395
6800,16972,11136
6900,17543,20681
7000,10724,22794
7100,12777,19307
7200,11647,22954
7300,13649,28736
7400,19814,19316
7500,17095,25874
7600,16609,23521
7700,17227,15380
7800,18556,25142
7900,13247,29504
8000,17283,19072
8100,11435,38518
8200,16586,30940
8300,12679,33485
8400,18468,18933
8500,18863,16319
8600,33062,26200
8700,18892,32290
8800,31738,28559
8900,23428,29878
9000,25063,25724
9100,22796,36913
9200,23720,32479
9300,15332,32241
9400,21943,35077
9500,29126,35960
9600,22483,37062
9700,23254,28475
9800,25088,31982
9900,48361,34888
10000,20898,44656
