Graph Points:
2 27
2 75
3 14
3 70
5 90
8 9
8 21
8 31
9 34
13 89
14 54
15 10
15 90
16 33
16 98
18 42
18 62
18 70
18 73
19 41
19 49
20 55
20 60
21 90
23 13
24 39
24 44
24 99
27 67
28 90
29 51
29 65
29 75
29 88
29 99
30 64
31 30
32 25
33 50
34 19
34 22
35 73
36 15
36 30
36 37
38 73
42 52
43 47
44 66
46 85
47 5
48 98
50 27
50 45
50 68
51 86
55 75
57 9
58 51
60 76
61 2
61 74
61 82
62 57
64 30
65 37
65 74
66 50
67 44
69 13
72 29
74 18
74 77
76 22
77 8
77 63
78 69
78 76
79 20
79 27
79 50
80 34
80 64
80 69
81 54
83 27
84 76
86 8
86 61
87 69
87 94
88 23
90 32
91 86
92 57
94 15
94 44
97 12
97 73
98 17

Convex Hull Points (Answer):
2 27
3 14
8 9
61 2
86 8
97 12
98 17
97 73
91 86
87 94
48 98
29 99
24 99
16 98
5 90
2 75
