Graph Points:
81 95
82 57
81 7
92 51
53 21
67 14
78 67
26 46
95 72
98 55
26 40
88 58
8 57
40 37
14 3
52 97
69 60
18 85
53 56
63 88
58 75
35 43
95 22
45 16
20 67
62 54
29 91
68 51
88 98
55 30
63 6
17 56
1 47
71 57
15 3
84 2
49 28
32 58
75 22
87 98
53 35
14 25
70 72
98 4
64 82
97 41
79 60
50 14
45 7
72 100
13 24
53 93
14 44
95 51
65 18
64 58
89 44
46 19
51 31
89 70
39 5
4 5
78 39
57 2
92 24
5 23
39 7
31 32
28 16
72 1
22 70
79 97
53 55
98 10
17 65
89 5
31 23
1 12
83 27
11 94
26 70
66 95
58 17
47 28
96 95
60 10
37 19
10 18
21 91
58 52
83 40
6 100
57 53
61 36
62 50
89 92
89 86
72 98
73 33
95 93

Convex Hull Points (Answer):
72 1
84 2
98 4
98 10
98 55
96 95
88 98
72 100
6 100
1 47
1 12
4 5
14 3
