Original Points:
0 53
0 85
1 97
3 24
6 50
7 25
9 33
12 62
13 19
13 84
14 45
14 85
17 40
18 13
20 13
21 26
22 17
22 34
28 56
32 45
33 48
33 58
33 77
34 6
34 34
34 35
35 5
35 90
36 42
37 99
39 42
40 35
41 1
44 81
45 26
45 33
45 41
46 58
46 96
49 9
49 30
50 28
51 55
52 88
53 32
54 15
55 71
57 92
58 34
58 63
59 56
60 0
60 77
61 16
63 56
65 28
66 17
67 70
69 41
70 0
72 48
73 46
73 56
73 89
74 2
74 84
75 100
76 50
76 70
77 7
77 11
77 48
77 65
78 32
78 66
79 15
79 20
79 70
80 38
83 67
84 14
84 49
84 71
86 43
88 42
88 94
89 6
89 20
89 96
89 98
91 84
92 35
92 67
93 1
93 17
93 85
96 99
98 58
98 96
99 44

Convex Hull:
0 53
0 85
1 97
37 99
75 100
96 99
98 96
98 58
93 1
70 0
60 0
41 1
18 13
3 24
