Points BruteForce(us) DivideConquer(us) GrahamScan(us)
4 0.00 0.00 9.73
5 0.00 0.00 0.00
6 1.10 0.00 0.00
7 8.00 5.30 0.00
8 0.00 10.74 2.05
9 0.76 0.00 0.00
10 0.00 0.00 0.00
11 0.00 0.00 0.00
12 0.00 0.00 0.00
13 0.00 0.00 0.00
14 0.00 0.00 0.00
15 0.00 138.86 0.00
16 10.64 0.00 0.00
17 0.00 0.00 0.00
18 0.00 0.00 0.00
19 0.00 0.00 0.00
20 0.00 0.00 0.00
21 152.48 6.03 0.00
22 0.00 0.00 0.00
23 0.00 0.00 0.00
24 0.00 0.00 156.08
25 17.06 0.00 0.00
26 0.00 0.00 0.00
27 159.85 0.00 0.00
28 0.00 0.00 0.00
29 174.90 0.00 0.00
30 85.06 66.38 0.00
31 11.22 0.00 0.00
32 163.23 0.00 0.00
33 156.03 11.04 0.00
34 0.00 165.90 0.00
35 0.00 151.15 0.00
36 156.66 20.88 0.00
37 160.89 0.00 0.00
38 183.48 0.00 0.00
39 156.05 0.00 0.00
40 339.34 0.00 0.00
41 247.32 0.00 0.00
42 260.25 29.18 1.01
43 257.69 44.16 10.91
44 134.89 0.00 155.06
45 160.13 0.00 156.62
46 156.27 161.91 0.00
47 213.45 0.00 165.00
48 364.13 38.84 0.00
49 294.60 0.00 0.00
50 488.89 0.00 0.00
51 333.73 153.68 0.00
52 425.17 45.33 0.00
53 363.78 170.09 0.00
54 438.59 0.00 0.00
55 489.37 0.00 0.00
56 666.98 0.00 0.00
57 626.00 0.00 0.00
58 569.96 143.79 0.00
59 651.93 7.28 0.00
60 684.81 0.00 90.11
61 727.81 0.00 0.00
62 850.48 0.00 0.00
63 1086.06 43.35 9.46
64 819.79 50.67 10.09
65 627.97 156.71 0.00
66 823.20 41.40 9.81
67 885.06 30.00 3.50
68 794.11 0.00 0.00
69 1066.86 50.00 10.00
70 902.89 0.00 0.00
71 1009.53 0.00 0.00
72 1148.90 0.00 0.00
73 1105.11 0.00 0.00
74 1090.91 0.00 0.00
75 1361.21 40.07 20.25
76 1480.13 6.17 84.73
77 1326.26 0.00 0.00
78 1167.21 165.48 0.00
79 1161.35 165.26 0.00
80 1372.06 0.00 0.00
81 1530.04 92.25 5.75
82 1502.32 0.00 0.00
83 1444.35 120.88 31.34
84 1477.90 90.50 0.00
85 1568.30 101.34 0.00
86 1761.36 50.00 20.01
87 1838.07 0.00 66.50
88 1765.50 66.68 0.00
89 1829.09 13.21 0.00
90 1925.72 69.02 0.00
91 2262.32 64.09 7.65
92 2026.70 145.18 0.00
93 2038.56 134.77 0.00
94 2192.40 56.19 0.00
95 2234.61 108.46 0.00
96 2390.64 52.52 0.00
97 2331.82 100.20 0.00
98 2465.92 100.01 0.00
99 2687.56 68.84 10.65
100 2729.17 0.00 116.84
