n,m,time_ns,index
1000,10,2377,273
1000,20,673,56
1000,30,5202,672
1000,40,786,40
1000,50,6441,791
1000,60,1730,141
1000,70,4583,497
1000,80,4417,456
1000,90,1590,68
1000,100,3699,366
2000,10,4090,534
2000,20,6601,893
2000,30,9795,1326
2000,40,7762,1044
2000,50,8011,1026
2000,60,12835,1703
2000,70,13670,1780
2000,80,1480,64
2000,90,6681,788
2000,100,13340,1751
3000,10,8890,1238
3000,20,20525,2858
3000,30,14571,1989
3000,40,13522,1832
3000,50,14416,1968
3000,60,12271,1586
3000,70,8556,1039
3000,80,17670,2344
3000,90,17288,2321
3000,100,8131,1021
4000,10,862,94
4000,20,16784,2352
4000,30,13845,1907
4000,40,19557,2698
4000,50,21855,2994
4000,60,18806,2548
4000,70,866,1
4000,80,140442,2654
4000,90,10723,1349
4000,100,16476,2195
5000,10,6878,927
5000,20,12692,1756
5000,30,4605,584
5000,40,16495,2279
5000,50,24385,3344
5000,60,22403,3066
5000,70,4884,535
5000,80,4021,424
5000,90,48281,183
5000,100,15300,2143
6000,10,48061,5703
6000,20,6267,850
6000,30,21478,2933
6000,40,4316,539
6000,50,41908,5840
6000,60,8559,1094
6000,70,17925,2374
6000,80,4245,450
6000,90,36451,5035
6000,100,35995,4894
7000,10,22628,3153
7000,20,22863,3145
7000,30,36613,5137
7000,40,961,70
7000,50,8168,1048
7000,60,30984,4247
7000,70,12101,1525
7000,80,19749,2586
7000,90,27335,4006
7000,100,23605,3133
8000,10,28071,3973
8000,20,27649,3892
8000,30,31335,4392
8000,40,33038,4577
8000,50,24884,3675
8000,60,20533,2939
8000,70,10884,1507
8000,80,8326,1125
8000,90,41056,6020
8000,100,45620,6760
9000,10,32999,4910
9000,20,51242,7269
9000,30,42039,5979
9000,40,62810,8795
9000,50,55151,8253
9000,60,44635,4458
9000,70,25575,3431
9000,80,12399,1598
9000,90,128320,4111
9000,100,40785,5569
10000,10,17247,2384
10000,20,44122,6251
10000,30,18838,2618
10000,40,4424,517
10000,50,42516,5796
10000,60,22339,3135
10000,70,53483,7949
10000,80,48959,7289
10000,90,7072,914
10000,100,23754,3409
